,Restaurant,Address,Appears on,latitude,longitude
52,Panadera Marylebone,"7 Picton Place, London, England W1U 1BN",Infatuation,51.5153646,-0.1515619
53,Crumb,"8 Charlton Place, London, England N1 8AJ",Infatuation,51.5350067,-0.1039252
54,Noodle Inn,"4-6 Old Compton Street, London, England W1D 4TB",Infatuation,51.51385149999999,-0.1297458
55,Junk Soho,"49 Old Compton Street, London, England W1D 6HL",Infatuation,51.5126541,-0.1323859
56,Home Kitchen,"130 Regent's Park Road, London, England NW1 8XL",Infatuation,51.54068299999999,-0.1572624
57,Café François,"The Warehouse, 14-16 Stoney Street, London, England SE1 9AD",Infatuation,51.5058611,-0.0917041
58,Sael,"1 St James's Market, London, England SW1Y",Infatuation,51.5091577,-0.1334785
59,Soul Mama,"40 Celebration Drive, Sandton, Gauteng 2191",Infatuation,-26.01702,28.00567
60,"The Barbary, Notting Hill","112 Westbourne Grove, London, England W2 5RU",Infatuation,51.51524509999999,-0.1949189
61,"Tofu Vegan, Charlotte Street","32 Charlotte Street, London, England W1T 2NQ",Infatuation,51.5190574,-0.1350817
62,Goldies,"10 Kingly Ct, London, England W1B 5PW",Infatuation,51.5125533,-0.1388642
63,Brother Marcus,"23 Slingsby Place, London, England WC2E 9AB",Infatuation,51.5126448,-0.1269413
64,Leydi,"15 Old Bailey, London, England EC4M 7EF",Infatuation,51.5159891,-0.1025116
65,Mignonette Bistro,"109 Gloucester Court, Kew Road, Richmond, England TW9 3DZ",Infatuation,51.48155999999999,-0.287613
66,Lussmanns,"2 Highgate High Street, London, England N6 5JL",Infatuation,51.5703651,-0.145455
67,Little Baobab - The Africa Centre,"66 Great Suffolk Street, London, England SE1 0BL",Infatuation,51.50306740000001,-0.1011779
68,Dang’s,"60-62 Commercial Street, London, England E1 6LT",Infatuation,51.5178624,-0.073664
69,Jazu Bar,"2 Deptford High Street, London, England SE8 4AF",Infatuation,51.4749648,-0.025753
70,Uchi Bake,"140 Clarence Road, London, England E5",Infatuation,51.5536097,-0.05598579999999999
71,Oriole,"7 Slingsby Place, London, England WC2E 9AB",Infatuation,51.5126431,-0.1262996
72,Sunday In Brooklyn,"10 The Nag's Head Public House, James Street, London, England WC2E 8BT",Infatuation,51.5129135,-0.1236797
73,Mary’s,"8-10 Pollen Street, London, England W1S 1YQ",Infatuation,51.5133282,-0.1423548
74,Albers,"23A Englefield Road, London, England N1 4JX",Infatuation,51.542593,-0.080064
75,Ambassadors Clubhouse,"25-27 Heddon Street, London, England W1B 4BH",Infatuation,51.5111056,-0.1403264
76,Andy’s Burgers,"242 Hoe Street, London, England E17 3AX",Infatuation,51.5839815,-0.0193076
77,You Call The Shots,"13 Morning Lane, London, England E9 6ND",Infatuation,51.5462024,-0.0545591
78,KöD,"2 St Annes Court, Stanley Road, Sutton, England SM2 6RX",Infatuation,51.3566602,-0.1973075
79,Parker’s,"21 Lowndes Street, London, England SW1X 9ES",Infatuation,51.4993302,-0.1577753
80,Rusty Rabbit,"50 Westbourne Grove, London, England W2 5SH",Infatuation,51.5156337,-0.1916346
81,Kricket,"Unit 6 Frobisher Psge, London, England null",Infatuation,51.5059669,-0.0206983
82,It’s Bagels,"120 Kensington Park Road, London, England W11 2PW",Infatuation,51.5131277,-0.2039652
83,Kolamba East,"12 Blossom Street, London, England E1",Infatuation,51.5209594,-0.0778434
84,Smashd & Buttered,"17&Central, Selborne Rd, London, England E17",Infatuation,51.5834059,-0.0234761
85,Hot Dogs by Three Darlings,"87-135 Brompton Road, London, England SW1X 7XL",Infatuation,51.4988912,-0.1628657
86,Eat Momo,"1 Bank End, London, England SE1 9BU",Infatuation,51.50694550000001,-0.09269089999999999
87,Chatsworth Bakehouse,"116 Anerley Road, London, England SE19 2AN",Infatuation,51.4157114,-0.07218229999999999
88,Marceline,"10 Water St, London, England E14 5GX",Infatuation,51.5031287,-0.0141717
89,Alley Cats Pizza Chelsea,"342 King's Road, London, England SW3 5UR",Infatuation,51.4852167,-0.1746163
90,Mauby,"1 Harefield Road, London, England SE4 1LW",Infatuation,51.46370890000001,-0.0357487
91,Bern’s And The Beans,"37 Orford Road, London, England E17 9NL",Infatuation,51.58267610000001,-0.0121179
92,Piraña,"7 St James's Place, London, England SW1A 1NP",Infatuation,51.50580739999999,-0.1396672
93,Holy Carrot,"156 Portobello Road, London, England W11 2EB",Infatuation,51.5151789,-0.2043253
94,Lahpet Larder,"39-45 Bermondsey Street, London, England SE1 3XF",Infatuation,51.502188,-0.0822434
95,Bonoo,"Unit 4, 5 Fortis Green Road, London, England N10 3HP",Infatuation,51.5909017,-0.1537233
96,Kanpai Classic Soho,"147 Wardour Street, London, England W1F 8WD",Infatuation,51.5141892,-0.1347479
97,Araw Ice Cream Soho,"4 Rupert House, Tisbury Court, London, England W1D 6BG",Infatuation,51.5123257,-0.1335759
98,Milk Run,"16-18 Ritherdon Road, London, England SW17 8QD",Infatuation,51.4381871,-0.1553272
99,Aavo Café,"193 Wood Street, London, England E17 3NU",Infatuation,51.58576919999999,-0.0017121
100, Sandwich Sandwich,"1 St. Martins House, Gresham Street, London, England EC2V 7BX",Infatuation,51.515481,-0.0965319
101, Lucia's,"43 Queens Yard, White Post Lane, London, England E9 5EN",Infatuation,51.5429843,-0.0231411
102,The Hound,"210 Chiswick High Road, London, England W4 1PD",Infatuation,51.4928225,-0.2568205
103,Sol's,"25 Leinster Terrace, London, England W2 3ET",Infatuation,51.5116927,-0.1832536
104,Ukiyo Handroll Bar,"8 Slingsby Place, London, England WC2E 9AB",Infatuation,51.5126448,-0.1269413
105,Dez Amore,"273 Fulham Road, London, England SW10 9PZ",Infatuation,51.4875769,-0.1781141
106, Xi Home Dumplings Bay,"10 Blossom Street, London, England E1",Infatuation,51.5216437,-0.07734139999999999
107,Kleinsky’s,"39 North Audley Street, London, England W1K 6ZW",Infatuation,51.5124836,-0.1534026
108,Carnívoro Grill,"182 Jamaica Road, London, England SE16 4RT",Infatuation,51.498188,-0.061947
109,Wood Street Bear,"135 Wood Street, London, England E17 3LX",Infatuation,51.5876791,-0.0036186
110,Vicky’s,"176 Victoria Park Road, London, England E9 7HD",Infatuation,51.538217,-0.043988
111,The Italian Bakery,"9 Market Parade, Forest Road, London, England E17 6DY",Infatuation,51.5889032,-0.0306049
112,Camden Courtyard,"23 Kentish Town Road, London, England NW1 8NH",Infatuation,51.5404263,-0.1423305
113,Jang at The Royal Exchange,"Royal Exchange Avenue, London, England EC3V",Infatuation,51.5138694,-0.0862381
114,Engel at The Royal Exchange,"Royal Exchange Avenue, London, England EC3V",Infatuation,51.5138694,-0.0862381
115,Albert's Schloss,"20-24 Shaftesbury Avenue, London, England W1D 7EU",Infatuation,51.510763,-0.1334584
116,High Road Social,"178 Greenwich High Road, London, England SE10 8NN",Infatuation,51.4794305,-0.009722999999999999
117,123V Browns,"39 Brook Street, London, England W1K 4HW",Infatuation,51.5128219,-0.1467001
118,Bobo Social,"Filmworks Walk, London, England W5",Infatuation,51.51216,-0.3064848
119,Common Breads,"110 Buckingham Palace Road, London, England SW1W 9NE",Infatuation,51.49413149999999,-0.1469867
120,Agora,"2-4 Bedale St, London, England SE1 9AL",Infatuation,51.505369,-0.08999159999999999
121,"The Hero, Maida Vale","55 Shirland Road, London, England W9 2JD",Infatuation,51.5243638,-0.1887319
122,Tollington’s,"172 Tollington Park, London, England N4 3AJ",Infatuation,51.5682954,-0.1109584
123,Morchella,"34-36 Exmouth Market, London, England EC1R 4QE",Infatuation,51.525873,-0.1089986
124,Bunhead Bakery,"145 Dulwich Road, London, England SE24 0NG",Infatuation,51.4525653,-0.1023475
125,Akoko,"21 Berners St, London,  W1T 3LP","Infatuation, Timeout",51.5177079,-0.13684
126,Dumpling Shack,"Old Spitalfields Market, London, Greater London E1 6EW",Infatuation,51.5196569,-0.0755469
127,Crumbs & Doilies,"1 Kingly Court, London, Greater London W1B 5PW",Infatuation,51.5125542,-0.1388523
128,Ottolenghi Spitalfields,"55 Artillery Ln, Spitalfields, Greater London E1 7LJ",Infatuation,51.5182249,-0.0768383
129,The Clarence Tavern,"102 Stoke Newington Church St, London, Greater London N16 0LA",Infatuation,51.5622956,-0.07893119999999999
130,Patty & Bun,"18 Old Compton St, Soho, Greater London W1D 4TN",Infatuation,51.5136525,-0.1302735
131,Cavita,"56-60 Wigmore St, London, Greater London W1U 2RZ",Infatuation,51.5163507,-0.1496233
132,Batch Baby,"43 De Beauvoir Rd, London, England N1 5SY",Infatuation,51.5390484,-0.08160819999999999
133,Dozo Sushi,"68 Old Brompton Rd, Kensington, Greater London SW7 3LQ",Infatuation,51.4929231,-0.1769251
134,Cookdaily,"Arch 358 Westgate Street, London, Greater London E8 3RN",Infatuation,51.5378739,-0.05846879999999999
135,La Petite Ferme,"104, 102 Farringdon Rd, London, Greater London EC1R 3EA",Infatuation,51.5249223,-0.1102605
136,Madame Pigg,"480 Kingsland Road, London, Greater London E8 4AE",Infatuation,51.5432735,-0.0758204
137,Chunnel Bar,"133 Lower Marsh, London, Greater London SE1 7AE",Infatuation,51.5003838,-0.1139229
138,Bistro Freddie,"74 Luke St, London, England EC2A 4PY",Infatuation,51.5242121,-0.0815926
139,Saponara,"23 Prebend St, Islington, Greater London N1 8PF",Infatuation,51.5367498,-0.0952693
140,Koya Ko,"10-12 Broadway Market Mews, London, Greater London E8 4TS",Infatuation,51.5365434,-0.062225
141,Gold,"95 - 97 Portobello Road, London,  W11 2QB",Infatuation,51.5129718,-0.2026503
142,Chang's Noodle,"36-38 New Oxford St, Greater London, Greater London WC1A 1EP",Infatuation,51.5172302,-0.1256535
143,Patron Cave à Manger,"26 Fortess Rd, London, Greater London null",Infatuation,51.55267380000001,-0.1408352
144,Bar Pepito,"3 Varnishers Yard, The Regent Quarter, London, Greater London N1 9DF",Infatuation,51.5312584,-0.1218957
145,Vasiniko,"7-9 Burleigh St, London, Greater London WC2E 7PW",Infatuation,51.51147419999999,-0.12127
146,Temper Soho,"25 Broadwick Street, London, Greater London W1F",Infatuation,51.513483,-0.1357118
147,Cafe Murano,"34-36 Tavistock St, London, Greater London WC2E 7PB",Infatuation,51.512136,-0.1201098
148,Ugly Dumpling,"1 Newburgh Street, London, Greater London W1F 7RB",Infatuation,51.5133682,-0.1384192
149,Trattoria N16,"44-45 Newington Green, London,  N16 9QH",Infatuation,51.5519916,-0.0859742
150,Orient London,"15 Wardour St, London, Greater London W1D 6PH",Infatuation,51.5108667,-0.1320446
151,Jay Dees,"28 Lancaster Road, London, Greater London W11 1QP",Infatuation,51.5182622,-0.2035268
152,Manna,"103-105 New Oxford St, London, null WC1A 1DB",Infatuation,51.5162697,-0.1292638
153,Dark Habit,"72A Salusbury Road, London, Greater London NW6 6NU",Infatuation,51.5368,-0.2065717
154,La Fromagerie,"52 Lamb’s Conduit Street, London, Greater London WC1N 3LL",Infatuation,51.5217963,-0.1182878
155,Tashas,"3 Prospect Way, London, England SW11",Infatuation,51.4807717,-0.1437122
156,Ta’mini Lebanese Bakery,"null, London, Greater London SW6 5UU",Infatuation,51.4766643,-0.2031361
157,Yauatcha,"15-17 Broadwick St, London, Greater London W1F 0DL",Infatuation,51.5136327,-0.1352299
158,Park Chinois,"17 Berkeley St, London, Greater London W1J 8EA",Infatuation,51.50869900000001,-0.143485
159,Hash E8,"170 Dalston Lane, London, Greater London E8 1NG",Infatuation,51.5481586,-0.0653473
160,Mao Chow,"159A Mare St, London, Greater London E8 3SH",Infatuation,51.5396958,-0.0562599
161,The Chesham Arms,"15 Mehetabel Rd, London, Greater London E9 6DU",Infatuation,51.5475909,-0.0501435
162,Mac And Wild,"9A Devonshire Square, London, Greater London EC2M 4AE",Infatuation,51.516936,-0.0790292
163,Theo's Pizzeria,"Draper House, 17-19 Elephant and Castle, London, Greater London SE1 6TH",Infatuation,51.4937138,-0.09862989999999999
164,Pastaio,"19 Ganton St, London, Greater London W1F 7BU",Infatuation,51.51288779999999,-0.1390604
165,Uchi,"144 Clarence Rd, London, Greater London E5 8DY",Infatuation,51.5537098,-0.05597899999999999
166,Good Friend,"14 Little Newport St, London, Greater London WC2H 7JJ",Infatuation,51.5118368,-0.1287987
167,Fatt Pundit,"6 Maiden Lane, London,  WC2E 7ND",Infatuation,51.51078589999999,-0.1226805
168,Pappa Roma,"6 Glendower Place, Greater London, Greater London SW7 3DP",Infatuation,51.4937926,-0.1755648
169,Kapihan,"13A Parkgate Rd, London, Greater London SW11 4NL",Infatuation,51.4786039,-0.1691421
170,Rovi,"59 Wells Street, London,  W1A 3AE",Infatuation,51.5176218,-0.1386031
171,Atis,"145 City Road, London, Greater London EC1V 1AZ",Infatuation,51.5274352,-0.0881391
172,The Tastebox,"N5 1LN, London, United Kingdom N5 1LN",Infatuation,51.5601042,-0.1007779
173,St John's Tavern,"91 Junction Rd., Junction, Greater London N19 5QU",Infatuation,51.5630147,-0.1356628
174,Honey & Spice,"52 Warren St, London, Greater London W1T 5NJ",Infatuation,51.5241204,-0.1402273
175,Cafe Helen,"105A Edgware Rd, Tyburnia, London W2 2HX, London, England W2 2HX",Infatuation,51.516373,-0.1651058
176,Abeno,"47 Museum St, London, Greater London WC1A 1LY",Infatuation,51.5175436,-0.1252299
177,The Heron,"Norfolk Crescent, London, Greater London W2 2DN",Infatuation,51.5162857,-0.1668081
178,Vardo,"9 Duke Of York Square, London,  SW3 4LY",Infatuation,51.491443,-0.1593924
179,Jíxíang Baozi,"27 Newport Ct, London, England WC2H 7JS",Infatuation,51.5119423,-0.1293752
180,Kudu Grill,"57 Nunhead Ln, London,  SE15 3TR",Infatuation,51.4639866,-0.06199059999999999
181,The Cadogan Arms,"298 King's Rd, London,  SW3 5UG",Infatuation,51.4859969,-0.1729432
182,Toklas,"1 Surrey St, London, Greater London WC2R 1AB",Infatuation,51.5120856,-0.115292
183,Old Compton Brasserie,"34 Old Compton Street, London, Greater London W1D 4TP",Infatuation,51.513367,-0.1311072
184,Sushi Show,"28 Camden Passage, London,  N1 8ED",Infatuation,51.5353126,-0.1033751
185,Dan’s,"2-4 Tottenham Road, Dalston, Greater London N1 4BZ",Infatuation,51.5451914,-0.0763589
186,Meatliquor W1,"37 - 38 Margaret Street, London,  W1G 0JF",Infatuation,51.51624959999999,-0.1428484
187,Birria Taco ,"75 Chamberlayne Rd, London, United Kingdom NW10 5RU",Infatuation,51.53385170000001,-0.2185761
188,Hideaway,"100 Mount St, London, Greater London W1K 2PH",Infatuation,51.5096347,-0.1504745
189,Lumberjack,"70 Camberwell Church Street, London, Greater London SE5 8QZ",Infatuation,51.4734736,-0.0882505
190,Spicy Grill,"122 Golders Green Road, London, England NW11 8HB",Infatuation,51.5739877,-0.2006974
191,The Eagle,"159 Farringdon Rd, Clerkenwell, Greater London EC1R 3AL",Infatuation,51.52414470000001,-0.1097427
192,Bake Street,"58 Evering Rd, London, Greater London N16 7SR",Infatuation,51.5587244,-0.066617
193,Viet Grill,"58 Kingsland Rd, London, Greater London E2 8DP",Infatuation,51.5290359,-0.077585
194,Ozone Coffee,"Emma Street, London,  E2 9AP",Infatuation,51.5325772,-0.0606562
195,Thattukada,"241B High Street North, East Ham, Greater London E12 6SJ",Infatuation,51.540625,0.0504383
196,215 Hackney,"215 Stoke Newington High Street, London, England N16 0LH",Infatuation,51.5633018,-0.0733957
197,Gifto's Lahore Karahi,"162-164 The Broadway, Southall, Greater London UB1 1NN",Infatuation,51.5123596,-0.3835071
198,Acme Fire Cult,"Abbot Street, London, null E8 3DP",Infatuation,51.5472045,-0.0744055
199,Iran Restaurant,"27 Shepherd Market, Mayfair, Greater London W1J 7PR",Infatuation,51.5063644,-0.1469763
200,Darby's,"3 Viaduct Gdns, London,  SW11 7AY",Infatuation,51.4820465,-0.130733
201,Old Town 97,"19 Wardour St, Chinatown, Greater London W1D 6PF",Infatuation,51.5110115,-0.132023
202,Coya London,"118 Piccadilly, London, Greater London W1J 7NW",Infatuation,51.5044524,-0.1479357
203,Nobu Shoreditch,"10-50 Willow Street, London, Greater London EC2A 4BH",Infatuation,51.5250393,-0.0828762
204,JB's Soul Food,"27A Peckham High St, London,  SE15 5EB",Infatuation,51.473688,-0.07235079999999999
205,NAC,"41 North Audley St, London, Greater London W1K 6ZP",Infatuation,51.5124121,-0.1534507
206,Albertine,"1 Wood Ln, Shepherds Bush, Greater London W12 7DP",Infatuation,51.50542309999999,-0.2247446
207,Sola Soho,"64 Dean Street, London,  W1A 4QQ",Infatuation,51.5131386,-0.1322393
208,Bluebelles of Portobello,"320 Portobello Rd, London, Greater London W10 5RU",Infatuation,51.5213593,-0.2099582
209,Perilla,"1-3 Green Lanes, London, Greater London N16 9BS",Infatuation,51.55216189999999,-0.08577159999999999
210,La Crêperie de Hampstead,"77 Hampstead High St, London, Greater London NW3 1RE",Infatuation,51.5557255,-0.1768248
211,Ploussard,"97 St John's Road, London, United Kingdom SW11 1QY",Infatuation,51.4608989,-0.1666914
212,Bao,"53 Lexington St, London, Greater London W1F 9AS",Infatuation,51.5132002,-0.1365948
213,E. Pellicci,"332 Bethnal Green Rd, London, Greater London E2 0AG",Infatuation,51.5264757,-0.06342919999999999
214,Change Please,"131 Walworth Road, London, England SE17 1RW",Infatuation,51.4925069,-0.09822099999999999
215,Franco's,"67 Rivington St, London, Greater London EC2A 3AY",Infatuation,51.5262921,-0.0797737
216,Goldfinch,"145 Mitcham Road, London, Greater London SW17 9PE",Infatuation,51.4248365,-0.1634064
217,Opera Tavern,"23 Catherine St, London, Greater London WC2B 5JS",Infatuation,51.5124931,-0.1204019
218,Royal China Club,"40 Baker St, London, Greater London W1U 7AJ",Infatuation,51.5183846,-0.1555513
219,Forno,"322 Andrews Road, London, United Kingdom E8",Infatuation,51.5346029,-0.05777329999999999
220,Swift,"12 Old Compton St, Soho, Greater London W1D 4TQ",Infatuation,51.5138413,-0.1300969
221,Satay House,"13 Sale Place, Paddington, Greater London W2 1PX",Infatuation,51.5176169,-0.1694944
222,Stir Coffee,"111 Brixton Hill, London, Greater London SW2 1AA",Infatuation,51.4544617,-0.1195075
223,Sticks'n'Sushi,"11 Henrietta St, London, Greater London WC2E 8NA",Infatuation,51.5110108,-0.1236158
224,The Wolseley,"160 Piccadilly, London, Greater London W1J 9EB",Infatuation,51.50741379999999,-0.1408844
225,Circolo Popolare,"40 - 41 Rathbone Place, London,  W1T 1HX",Infatuation,51.5174607,-0.1337883
226,La Luna Di Luca,"46C Friars Stile Road, Richmond, Greater London TW10 6NQ",Infatuation,51.455273,-0.296755
227,Patara,"15 Greek St, London , null W1D 4DP",Infatuation,51.5141717,-0.1307608
228,Tooting Broadway Market,"29 Tooting High Street, London, Greater London SW17 0SG",Infatuation,51.4283384,-0.1665127
229,Durak Tantuni,"390 West Green Rd, West Green, Greater London N15 3PX",Infatuation,51.5863619,-0.0948873
230,Dapur,"13 Lambs Conduit Passage, London, Greater London WC1R 4RH",Infatuation,51.5200719,-0.1178441
231,Three Little Birds,"412 Coldharbour Lane, London,  SW9 8LF",Infatuation,51.4617231,-0.1134988
232,107 Wine Shop & Bar,"107 Lower Clapton Road, London, London E5 0NP",Infatuation,51.552093,-0.0525645
233,64 Goodge Street,"64 Goodge St, London, England W1T 4NF",Infatuation,51.5190656,-0.1369085
234,Titu,"1A Shepherd Street, London, Greater London W1J 7HJ",Infatuation,51.5062273,-0.1463034
235,Launceston Place,"1A Launceston Pl, Kensington, Greater London W8 5RL",Infatuation,51.4991967,-0.1854357
236,Royal Mahal,"32-36 Upper Tooting Road, London, United Kingdom SW17 7PD",Infatuation,51.43501029999999,-0.1614406
237,Aqua,"Level 31 The Shard, London, Greater London SE1 9RY",Infatuation,51.5045,-0.0865
238,City Social,"Tower 42, 25 Old Broad St, London, Greater London EC2N 1HQ",Infatuation,51.5153629,-0.0843135
239,The Pineapple,"51 Leverton St, Kentish Town, Greater London NW5 2NX",Infatuation,51.5529654,-0.1396054
240,Little Mercies,"20 Broadway Parade, London, Greater London N8 9DE",Infatuation,51.5806516,-0.122198
241,Sushi Atelier,"114 Great Portland Street, London, Greater London W1W 6PH",Infatuation,51.5194953,-0.142235
242,Lao Dao,"305 Walworth Road, London, England SE17 2TG",Infatuation,51.4870984,-0.09484469999999999
243,Colbert,"50-52 Sloane Sq, Chelsea, Greater London SW1W 8AX",Infatuation,51.4928128,-0.1566021
244,Pophams Hackney,"197 Richmond Road, London,  E8 3NJ",Infatuation,51.5436216,-0.05765579999999999
245,Westerns Laundry,"34 Drayton Park, London, Greater London N5 1PB",Infatuation,51.5515584,-0.1072278
246,Tokyo Pizza,"47 Maida Vale , London,  W9 1SD",Infatuation,51.5260763,-0.1790621
247,The Waterman's Arms,"375 Lonsdale Road, London, England SW13 9PY",Infatuation,51.4736249,-0.2510814
248,Amazing Grace,"9a St Thomas Street, London,  SE1 9RY",Infatuation,51.5049991,-0.0884359
249,Wong Kei,"41-43 Wardour St, City of Westminster, Greater London W1D 6PY",Infatuation,51.5114898,-0.1323808
250,Brindisa Chorizo Grill,"Borough Market, Greater London, Greater London SE1",Infatuation,51.5055826,-0.09048080000000001
251,Bar Termini,"7 Old Compton St, London, Greater London W1D 5JE",Infatuation,51.5136774,-0.1297975
252,Mere,"74 Charlotte Street, London, Greater London W1T 4QJ",Infatuation,51.5205138,-0.1365833
253,The Gallery At Sketch,"9 Conduit St, London, Greater London W1S 2XG",Infatuation,51.5127667,-0.1415637
254,Persepolis,"Peckham High St., Peckham, Greater London SE15 5DT",Infatuation,51.4735856,-0.0724717
255,Antepliler Restaurant,"46 Green Lanes, Harringay, Greater London N4 1AG",Infatuation,51.5793037,-0.09886810000000001
256,Passione Vino,"85 Leonard Street, London,  EC2A 4QS",Infatuation,51.52479690000001,-0.082408
257,Maya's Bakehouse,"37 Tulse Hill, London, England SW2 2TJ",Infatuation,51.4540788,-0.1129544
258,Prufrock Coffee,"23-25 Leather Ln, London, Greater London EC1N 7TE",Infatuation,51.5199071,-0.1094542
